name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;978;0;1001;3077;1854;3077;1784;0
header;211;142;211;173;1835;173;1835;142
A;1013;209;1013;236;1034;236;1034;209
A;1459;261;1459;276;1467;276;1467;261
A;1051;305;1051;321;1060;321;1060;305
B;1168;349;1168;365;1177;365;1177;349
A;1492;394;1492;399;1498;399;1498;394
A;1575;485;1575;501;1583;501;1583;485
D;1274;576;1274;591;1283;591;1283;576
A;1294;667;1294;682;1302;682;1302;667
B;1460;804;1460;820;1469;820;1469;804
B;1018;874;1018;902;1039;902;1039;874
A;1187;1031;1187;1047;1195;1047;1195;1031
A;1523;1074;1523;1090;1531;1090;1531;1074
A;1538;1210;1538;1217;1544;1217;1544;1210
A;1272;1362;1272;1367;1278;1367;1278;1362
B;1332;1532;1332;1548;1340;1548;1340;1532
C;1027;1638;1027;1668;1048;1668;1048;1638
B;1326;1896;1326;1911;1334;1911;1334;1896
A;1190;1943;1190;1948;1195;1948;1195;1943
A;1526;2075;1526;2079;1531;2079;1531;2075
A;1645;2165;1645;2171;1650;2171;1650;2165
A;1376;2167;1376;2173;1381;2173;1381;2167
A;1818;2210;1818;2215;1823;2215;1823;2210
A;1147;2260;1147;2275;1155;2275;1155;2260
D;1034;2307;1034;2333;1055;2333;1055;2307
A;1263;2667;1263;2682;1271;2682;1271;2667
A;1394;2711;1394;2717;1400;2717;1400;2711
