name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;231;0;509;3077;1095;3077;1072;0
header;843;18;843;22;1481;22;1481;18
A;323;267;323;294;331;294;331;267
A;341;268;341;295;348;295;348;268
A;999;275;999;303;1022;303;1022;275
A;484;277;484;295;492;295;492;277
D;454;404;454;431;488;431;488;404
D;851;600;851;616;860;616;860;600
B;727;827;727;843;736;843;736;827
B;467;919;467;935;475;935;475;919
B;1013;948;1013;975;1034;975;1034;948
D;985;1468;985;1484;994;1484;994;1468
B;964;1505;964;1532;997;1532;997;1505
A;924;1513;924;1530;932;1530;932;1513
B;846;1560;846;1576;855;1576;855;1560
C;1010;1596;1010;1624;1031;1624;1031;1596
A;1054;1963;1054;1963;1054;1963;1054;1963
B;463;2251;463;2271;478;2271;478;2251
D;1021;2262;1021;2290;1044;2290;1044;2262
A;1062;2339;1062;2355;1070;2355;1070;2339
D;904;2343;904;2359;913;2359;913;2343
